targets,receptions,avg_yards,yards,touchdowns,yards_after_catch,longest,longest_touchdown,redzone_targets,air_yards,broken_tackles,dropped_passes,catchable_passes,yards_after_contact,tackles,assists,combined,sacks,sack_yards,interceptions,passes_defended,forced_fumbles,fumble_recoveries,qb_hits,tloss,tloss_yards,safeties,sp_tackles,sp_assists,sp_forced_fumbles,sp_fumble_recoveries,sp_blocks,misc_tackles,misc_assists,misc_forced_fumbles,misc_fumble_recoveries,def_targets,def_comps,blitzes,hurries,knockdowns,missed_tackles,batted_passes,three_and_outs_forced,fourth_down_stops,sp_own_fumble_recoveries,sp_opp_fumble_recoveries,PPR Points,Half PPR Points,Standard Points
5,1,3,3,0,5,3,0,0,-2,1,1,2,2,30,17,47,4,28,1,7,0,0,10,8,36,0,1,4,0,0,0,0,0,0,0,43,28,6,0,4,0,0,1,1,0,0,1.3,0.8,0.3
17,10,14.6,146,2,59,38,38,0,87,3,2,2,26,32,19,51,2,11,0,6,1,1,3,7,20,0,4,2,0,0,0,0,0,0,0,36,21,11,10,1,11,0,2,2,0,0,36.6,31.6,26.6
14,9,14,126,1,72,48,48,2,54,3,0,0,22,37,21,58,2,16,0,8,0,0,5,4,15,0,3,4,0,0,0,0,0,0,0,42,29,6,0,2,0,0,5,2,0,0,27.6,23.1,18.6
13,7,20.143,141,2,31,35,35,1,110,0,1,1,0,34,26,60,1,9,0,4,0,0,4,3,11,0,6,3,0,0,0,0,0,0,0,37,23,22,2,3,2,2,2,0,0,0,33.1,29.6,26.1
11,7,10.571,74,0,20,28,0,0,54,0,0,0,7,44,36,80,1,2,2,7,0,0,4,3,4,0,4,4,0,0,0,1,0,0,0,36,25,2,0,3,3,1,1,1,0,0,14.4,10.9,7.4
12,8,22.125,177,2,50,45,45,1,127,0,0,0,6,30,24,54,0,0,1,6,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,27,16,13,2,2,12,0,1,0,0,0,37.7,33.7,29.7
7,3,23.667,71,0,2,35,0,1,69,0,0,0,0,35,30,65,0,0,2,3,0,0,3,1,5,0,1,0,0,0,0,0,0,0,0,19,11,1,0,3,0,0,3,0,0,0,10.1,8.6,7.1
9,4,7,28,0,8,11,0,0,20,0,0,0,0,31,26,57,3,20,1,3,1,0,5,1,8,0,5,9,0,0,0,0,0,0,0,34,20,12,4,1,1,0,4,0,0,0,6.8,4.8,2.8
9,2,7.5,15,0,19,12,0,2,-4,0,0,0,0,33,20,53,3,31,3,7,0,0,5,6,41,0,3,2,0,0,0,0,0,0,0,30,16,11,0,2,0,2,1,0,0,0,3.5,2.5,1.5
11,7,21.857,153,2,44,60,60,1,109,0,1,1,1,35,35,70,0,0,2,4,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,36,27,5,2,9,0,1,1,1,0,0,34.3,30.8,27.3
9,5,14.6,73,0,13,22,0,1,60,0,1,1,1,43,22,65,6,39,1,6,2,1,14,6,28,0,1,4,0,0,0,0,0,0,0,34,23,11,7,7,5,1,2,2,0,0,12.3,9.8,7.3
9,6,11,66,0,3,18,0,1,63,0,0,0,0,31,23,54,0,0,1,5,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,27,16,0,1,1,1,0,0,0,0,0,12.6,9.6,6.6
8,6,14,84,1,21,21,16,1,63,0,0,0,4,26,15,41,0,0,2,5,1,1,2,3,8,0,1,0,0,0,0,0,0,0,0,24,16,1,0,2,2,1,2,0,0,0,20.4,17.4,14.4
20,13,13.231,172,2,34,32,32,3,138,0,1,1,1,41,16,57,4,31,3,6,0,0,8,5,32,0,4,0,0,0,0,0,0,0,0,44,28,4,0,4,3,0,4,1,0,0,42.2,35.7,29.2
13,8,9.375,75,0,14,19,0,5,61,0,1,1,2,48,14,62,7,50,1,3,2,2,5,7,39,0,2,0,0,0,0,1,0,0,0,45,29,7,0,1,2,1,4,0,0,0,15.5,11.5,7.5
4,4,11.25,45,0,34,21,0,2,11,0,0,0,8,39,32,71,4,25,1,4,0,0,6,8,32,0,0,4,0,0,1,2,0,0,0,30,24,30,1,2,8,1,2,0,0,0,8.5,6.5,4.5
5,2,14.5,29,0,6,21,0,2,23,0,0,0,2,41,22,63,0,0,1,5,0,0,3,2,3,0,1,0,0,0,0,1,0,0,0,31,20,30,0,3,3,2,1,0,0,0,4.9,3.9,2.9
12,7,8.143,57,0,26,15,0,2,31,0,0,0,5,34,13,47,1,8,3,10,0,0,3,2,13,0,2,2,0,0,0,0,0,0,0,48,29,16,1,1,2,1,0,0,0,0,12.7,9.2,5.7
7,1,11,11,0,2,11,0,0,9,0,1,1,0,28,13,41,6,49,1,3,1,0,9,7,50,0,0,2,0,0,0,0,0,0,0,21,10,19,3,3,4,1,2,3,0,0,2.1,1.6,1.1
7,4,8.5,34,0,16,12,0,0,18,0,0,0,9,35,27,62,0,0,0,2,0,0,1,5,14,0,1,0,0,0,0,2,0,0,0,26,18,18,0,1,2,0,4,1,0,0,7.4,5.4,3.4
13,6,14.333,86,0,37,42,0,0,49,1,0,0,6,35,35,70,3,27,1,4,2,1,7,5,28,0,4,0,0,0,0,1,0,0,0,26,16,7,0,3,11,0,4,0,0,0,14.6,11.6,8.6
13,7,11.714,82,1,10,46,46,1,72,0,1,1,1,37,12,49,2,11,3,8,0,0,6,6,21,0,1,0,0,0,0,1,0,0,0,37,23,5,1,4,3,1,4,2,0,0,21.2,17.7,14.2
7,5,14.6,73,0,30,33,0,1,43,0,0,0,14,38,17,55,1,13,0,2,0,0,4,3,17,0,2,0,0,0,0,0,0,0,0,33,23,8,0,3,2,1,1,2,0,0,12.3,9.8,7.3
10,7,7.571,53,0,26,24,0,1,27,0,0,0,0,33,21,54,4,25,1,2,1,2,5,5,27,0,4,4,0,0,0,0,0,0,0,30,22,12,2,1,3,0,5,0,0,0,12.3,8.8,5.3
12,8,12.625,101,1,41,24,3,1,60,0,0,0,19,34,24,58,1,6,0,9,0,0,3,3,9,0,0,6,0,0,0,0,0,0,0,34,22,18,0,1,5,3,5,0,0,0,24.1,20.1,16.1
6,1,4,4,0,0,4,0,1,4,0,2,2,0,33,13,46,2,14,0,2,0,0,6,4,20,0,0,0,0,0,0,0,0,0,0,19,9,10,1,4,3,1,3,0,0,0,1.4,0.9,0.4
21,13,9.692,126,2,13,24,4,5,113,0,1,1,5,41,30,71,2,13,0,6,0,0,6,4,17,0,1,1,0,0,0,0,0,0,0,46,28,11,3,2,8,0,1,0,0,0,37.6,31.1,24.6
8,5,9.2,46,1,23,17,3,3,23,1,1,1,14,36,29,65,3,14,0,2,0,0,5,4,16,0,2,1,0,0,0,0,0,0,0,27,20,25,0,2,8,0,4,0,0,0,15.6,13.1,10.6
